game_id,repetition,black_agent,white_agent,winner,black_score,white_score,disc_diff,black_avg_nodes,white_avg_nodes,black_avg_depth,white_avg_depth,black_avg_time,white_avg_time
1,1,minimax+mobility,minimax+mobility,black,49,15,34,1050.55,1032.14,3.74,3.83,0.09463,0.09578
2,2,minimax+mobility,minimax+mobility,black,49,15,34,1032.97,999.93,3.71,3.83,0.09461,0.09577
3,3,minimax+mobility,minimax+mobility,black,49,15,34,1044.81,1030.97,3.74,3.83,0.09461,0.09582
4,4,minimax+mobility,minimax+mobility,black,49,15,34,1066.13,1042.93,3.74,3.83,0.09458,0.09576
5,5,minimax+mobility,minimax+mobility,black,49,15,34,1051.16,1025.66,3.77,3.83,0.09462,0.09577
6,6,minimax+mobility,minimax+mobility,black,49,15,34,1034.19,1006.52,3.71,3.79,0.09459,0.09574
7,7,minimax+mobility,minimax+mobility,black,49,15,34,1019.81,995.66,3.71,3.79,0.0946,0.09576
8,8,minimax+mobility,minimax+mobility,black,49,15,34,1022.0,1000.83,3.71,3.79,0.0946,0.09578
9,9,minimax+mobility,minimax+mobility,black,49,15,34,1026.32,1013.69,3.71,3.79,0.09463,0.09585
10,10,minimax+mobility,minimax+mobility,black,49,15,34,1029.45,1014.0,3.71,3.79,0.09466,0.09589
11,11,minimax+mobility,minimax+mobility,black,49,15,34,1039.81,1010.34,3.74,3.83,0.09459,0.09573
12,12,minimax+mobility,minimax+mobility,black,49,15,34,1043.29,1019.83,3.71,3.79,0.09459,0.09574
13,13,minimax+mobility,minimax+mobility,black,49,15,34,1035.81,1020.41,3.71,3.83,0.09462,0.09585
14,14,minimax+mobility,minimax+mobility,black,49,15,34,1040.13,1020.9,3.71,3.79,0.09459,0.09579
15,15,minimax+mobility,minimax+mobility,black,49,15,34,1036.48,1015.38,3.71,3.79,0.09478,0.09617
16,16,minimax+mobility,minimax+mobility,black,49,15,34,1041.48,1024.62,3.71,3.79,0.0946,0.09579
17,17,minimax+mobility,minimax+mobility,black,49,15,34,1047.03,1022.28,3.71,3.83,0.09463,0.09581
18,18,minimax+mobility,minimax+mobility,black,49,15,34,1025.84,1008.55,3.71,3.76,0.0946,0.09577
19,19,minimax+mobility,minimax+mobility,black,49,15,34,1020.77,995.59,3.71,3.79,0.09464,0.0959
20,20,minimax+mobility,minimax+mobility,black,49,15,34,993.1,984.07,3.71,3.79,0.09462,0.09583
21,21,minimax+mobility,minimax+mobility,black,49,15,34,906.74,898.86,3.65,3.76,0.09483,0.0964
22,22,minimax+mobility,minimax+mobility,black,49,15,34,863.1,883.93,3.65,3.72,0.09482,0.09627
23,23,minimax+mobility,minimax+mobility,black,49,15,34,904.06,892.79,3.68,3.72,0.09476,0.09616
24,24,minimax+mobility,minimax+mobility,black,49,15,34,917.87,907.45,3.68,3.72,0.09477,0.09615
25,25,minimax+mobility,minimax+mobility,black,49,15,34,900.32,895.76,3.68,3.72,0.09478,0.09628
26,26,minimax+mobility,minimax+mobility,black,49,15,34,1013.68,998.83,3.71,3.76,0.09463,0.09579
27,27,minimax+mobility,minimax+mobility,black,49,15,34,1040.06,1007.14,3.71,3.79,0.09458,0.09573
28,28,minimax+mobility,minimax+mobility,black,49,15,34,1034.9,1020.83,3.71,3.83,0.09462,0.09579
29,29,minimax+mobility,minimax+mobility,black,49,15,34,886.52,883.93,3.61,3.72,0.09481,0.09629
30,30,minimax+mobility,minimax+mobility,black,49,15,34,902.32,889.41,3.65,3.72,0.09474,0.09615
31,31,minimax+mobility,minimax+mobility,black,49,15,34,1084.13,1066.9,3.81,3.79,0.09455,0.09567
32,32,minimax+mobility,minimax+mobility,black,49,15,34,1076.06,1062.31,3.81,3.83,0.09461,0.09579
33,1,minimax+mobility,minimax+corner,white,11,53,-42,1045.43,4510.37,3.67,4.53,0.09643,0.09455
34,2,minimax+mobility,minimax+corner,white,11,53,-42,1062.7,4614.5,3.67,4.53,0.09657,0.0946
35,3,minimax+mobility,minimax+corner,white,11,53,-42,1055.07,4612.4,3.67,4.53,0.09713,0.09468
36,4,minimax+mobility,minimax+corner,white,11,53,-42,1066.1,4595.1,3.67,4.53,0.09644,0.09454
37,5,minimax+mobility,minimax+corner,white,11,53,-42,1063.2,4571.63,3.67,4.53,0.09647,0.09456
38,6,minimax+mobility,minimax+corner,white,11,53,-42,1057.53,4571.83,3.67,4.53,0.09643,0.09455
39,7,minimax+mobility,minimax+corner,white,11,53,-42,1064.0,4566.43,3.67,4.53,0.09648,0.09453
40,8,minimax+mobility,minimax+corner,white,11,53,-42,1066.3,4518.13,3.67,4.53,0.09653,0.09454
41,9,minimax+mobility,minimax+corner,white,11,53,-42,1019.93,4397.13,3.67,4.53,0.09715,0.09491
42,10,minimax+mobility,minimax+corner,white,11,53,-42,1044.17,4440.77,3.67,4.53,0.09656,0.0946
43,11,minimax+mobility,minimax+corner,white,11,53,-42,1021.3,4438.67,3.67,4.53,0.09717,0.0948
44,12,minimax+mobility,minimax+corner,white,11,53,-42,989.33,4261.1,3.67,4.53,0.09664,0.09462
45,13,minimax+mobility,minimax+corner,white,11,53,-42,995.07,4252.5,3.67,4.53,0.09676,0.09464
46,14,minimax+mobility,minimax+corner,white,11,53,-42,994.6,4265.13,3.67,4.53,0.09666,0.09463
47,15,minimax+mobility,minimax+corner,white,11,53,-42,1011.57,4315.57,3.67,4.53,0.09659,0.09459
48,16,minimax+mobility,minimax+corner,white,11,53,-42,897.2,3829.4,3.67,4.5,0.09718,0.09479
49,17,minimax+mobility,minimax+corner,white,11,53,-42,871.87,3759.37,3.63,4.47,0.09703,0.0948
50,18,minimax+mobility,minimax+corner,white,11,53,-42,898.43,3827.23,3.67,4.5,0.09706,0.09475
51,19,minimax+mobility,minimax+corner,white,11,53,-42,920.23,3933.23,3.67,4.53,0.09695,0.09474
52,20,minimax+mobility,minimax+corner,white,11,53,-42,931.73,3958.63,3.67,4.53,0.09696,0.09471
53,21,minimax+mobility,minimax+corner,white,11,53,-42,914.97,3950.63,3.67,4.5,0.09699,0.09473
54,22,minimax+mobility,minimax+corner,white,11,53,-42,943.8,4018.03,3.67,4.53,0.09697,0.09472
55,23,minimax+mobility,minimax+corner,white,11,53,-42,921.43,3959.67,3.67,4.53,0.09712,0.09479
56,24,minimax+mobility,minimax+corner,white,11,53,-42,912.1,3955.07,3.67,4.53,0.09696,0.09478
57,25,minimax+mobility,minimax+corner,white,11,53,-42,924.53,3928.0,3.67,4.53,0.09706,0.09481
58,26,minimax+mobility,minimax+corner,white,11,53,-42,936.87,4050.53,3.67,4.53,0.09641,0.09454
59,27,minimax+mobility,minimax+corner,white,11,53,-42,973.67,4320.17,3.67,4.53,0.09696,0.09447
60,28,minimax+mobility,minimax+corner,white,11,53,-42,1071.77,4604.33,3.67,4.53,0.09644,0.09451
61,29,minimax+mobility,minimax+corner,white,11,53,-42,1044.6,4497.23,3.67,4.53,0.0965,0.09454
62,30,minimax+mobility,minimax+corner,white,11,53,-42,1046.37,4529.7,3.67,4.53,0.09662,0.09459
63,31,minimax+mobility,minimax+corner,white,11,53,-42,1034.33,4453.5,3.67,4.53,0.09652,0.09457
64,32,minimax+mobility,minimax+corner,white,11,53,-42,1036.4,4479.57,3.67,4.53,0.09663,0.0946
65,1,minimax+mobility,minimax+frontier,white,9,55,-46,1017.0,2208.55,3.97,4.39,0.09685,0.09534
66,2,minimax+mobility,minimax+frontier,white,9,55,-46,1010.34,2205.9,3.97,4.42,0.09684,0.09531
67,3,minimax+mobility,minimax+frontier,white,9,55,-46,1010.24,2208.77,3.97,4.42,0.09683,0.09532
68,4,minimax+mobility,minimax+frontier,white,9,55,-46,1024.9,2233.81,3.97,4.39,0.09683,0.09531
69,5,minimax+mobility,minimax+frontier,white,9,55,-46,1044.38,2264.81,3.97,4.42,0.09684,0.09527
70,6,minimax+mobility,minimax+frontier,white,9,55,-46,1040.72,2242.26,3.97,4.42,0.09684,0.09529
71,7,minimax+mobility,minimax+frontier,white,9,55,-46,1030.9,2243.68,3.97,4.42,0.09684,0.09529
72,8,minimax+mobility,minimax+frontier,white,9,55,-46,1034.59,2203.55,3.97,4.42,0.09685,0.0953
73,9,minimax+mobility,minimax+frontier,white,9,55,-46,990.9,2234.03,3.97,4.39,0.09684,0.09528
74,10,minimax+mobility,minimax+frontier,white,9,55,-46,1029.24,2242.71,3.97,4.39,0.09682,0.09532
75,11,minimax+mobility,minimax+frontier,white,9,55,-46,1010.03,2181.42,3.97,4.39,0.09686,0.09535
76,12,minimax+mobility,minimax+frontier,white,9,55,-46,1005.34,2205.48,3.93,4.39,0.09683,0.09531
77,13,minimax+mobility,minimax+frontier,white,9,55,-46,999.79,2155.81,3.97,4.42,0.09684,0.09533
78,14,minimax+mobility,minimax+frontier,white,9,55,-46,961.07,2161.1,3.93,4.39,0.09685,0.09536
79,15,minimax+mobility,minimax+frontier,white,9,55,-46,998.38,2166.03,3.97,4.39,0.09685,0.09531
80,16,minimax+mobility,minimax+frontier,white,9,55,-46,1026.66,2213.71,3.97,4.42,0.09685,0.0953
