game_id,repetition,black_agent,white_agent,winner,black_score,white_score,disc_diff,moves,duration_sec
1,1,minimax+mobility,minimax+mobility,white,17,47,-30,60,0.3876
2,1,minimax+mobility,minimax+corner,white,23,41,-18,60,0.2236
3,1,minimax+mobility,minimax+frontier,white,28,36,-8,60,0.2565
4,1,minimax+mobility,alphabeta+mobility,white,21,43,-22,60,0.3281
5,1,minimax+mobility,alphabeta+corner,white,23,41,-18,60,0.223
6,1,minimax+mobility,alphabeta+frontier,white,28,36,-8,60,0.246
7,1,minimax+corner,minimax+mobility,draw,32,32,0,60,0.2259
8,1,minimax+corner,minimax+corner,black,36,28,8,60,0.0702
9,1,minimax+corner,minimax+frontier,black,48,16,32,60,0.0991
10,1,minimax+corner,alphabeta+mobility,white,29,35,-6,60,0.1535
11,1,minimax+corner,alphabeta+corner,black,36,28,8,60,0.0789
12,1,minimax+corner,alphabeta+frontier,black,48,16,32,60,0.0805
13,1,minimax+frontier,minimax+mobility,black,48,16,32,60,0.2285
14,1,minimax+frontier,minimax+corner,black,34,30,4,60,0.0972
15,1,minimax+frontier,minimax+frontier,black,37,27,10,60,0.1281
16,1,minimax+frontier,alphabeta+mobility,black,48,16,32,60,0.1722
17,1,minimax+frontier,alphabeta+corner,black,34,30,4,60,0.0992
18,1,minimax+frontier,alphabeta+frontier,black,37,27,10,60,0.116
19,1,alphabeta+mobility,minimax+mobility,white,27,37,-10,60,0.2978
20,1,alphabeta+mobility,minimax+corner,white,27,37,-10,60,0.1652
21,1,alphabeta+mobility,minimax+frontier,white,16,48,-32,60,0.2296
22,1,alphabeta+mobility,alphabeta+mobility,black,52,12,40,60,0.2317
23,1,alphabeta+mobility,alphabeta+corner,white,27,37,-10,60,0.1646
24,1,alphabeta+mobility,alphabeta+frontier,white,16,48,-32,60,0.1947
25,1,alphabeta+corner,minimax+mobility,draw,32,32,0,60,0.2259
26,1,alphabeta+corner,minimax+corner,black,36,28,8,60,0.0694
27,1,alphabeta+corner,minimax+frontier,black,48,16,32,60,0.0878
28,1,alphabeta+corner,alphabeta+mobility,white,29,35,-6,60,0.1411
29,1,alphabeta+corner,alphabeta+corner,black,36,28,8,60,0.068
30,1,alphabeta+corner,alphabeta+frontier,black,48,16,32,60,0.0789
31,1,alphabeta+frontier,minimax+mobility,black,48,16,32,60,0.2216
32,1,alphabeta+frontier,minimax+corner,black,34,30,4,60,0.0881
33,1,alphabeta+frontier,minimax+frontier,black,37,27,10,60,0.12
34,1,alphabeta+frontier,alphabeta+mobility,black,48,16,32,60,0.1653
35,1,alphabeta+frontier,alphabeta+corner,black,34,30,4,60,0.0853
36,1,alphabeta+frontier,alphabeta+frontier,black,37,27,10,60,0.1006
