iter	Passed	Remaining
0	15	63919
1	32	64494
2	51	68686
3	70	70899
4	88	71081
5	106	70787
6	125	71709
7	142	71313
8	161	71715
9	180	71877
10	198	71804
11	218	72452
12	235	72335
13	253	72281
14	273	72579
15	292	72770
16	309	72605
17	329	72988
18	347	72805
19	365	72699
20	383	72579
21	401	72566
22	420	72654
23	437	72538
24	458	72853
25	474	72451
26	492	72434
27	510	72355
28	529	72535
29	549	72682
30	568	72810
31	589	73121
32	606	72891
33	626	73073
34	645	73165
35	665	73296
36	683	73240
37	705	73537
38	724	73573
39	743	73628
40	763	73731
41	783	73804
42	803	73908
43	821	73873
44	838	73707
45	857	73708
46	878	73920
47	900	74113
48	921	74269
49	939	74236
50	958	74225
51	978	74289
52	1000	74502
53	1029	75244
54	1061	76132
55	1092	76916
56	1125	77835
57	1160	78886
58	1192	79648
59	1226	80560
60	1264	81679
61	1295	82285
62	1327	82985
63	1359	83612
64	1392	84269
65	1419	84634
66	1445	84850
67	1469	84956
68	1489	84865
69	1510	84787
70	1529	84645
71	1549	84512
72	1568	84353
73	1588	84288
74	1611	84322
75	1633	84335
76	1655	84325
77	1675	84246
78	1698	84277
79	1717	84172
80	1738	84096
81	1758	84026
82	1778	83918
83	1798	83826
84	1816	83647
85	1835	83518
86	1854	83401
87	1873	83290
88	1892	83173
89	1912	83080
90	1933	83056
91	1951	82913
92	1970	82777
93	1988	82621
94	2009	82600
95	2035	82765
96	2065	83118
97	2101	83654
98	2133	84086
99	2166	84482
100	2202	85026
101	2233	85369
102	2269	85866
103	2308	86472
104	2342	86905
105	2378	87378
106	2416	87920
107	2446	88159
108	2467	88097
109	2488	88019
110	2511	87992
111	2532	87914
112	2552	87814
113	2572	87686
114	2590	87528
115	2610	87403
116	2629	87253
117	2648	87140
118	2668	87040
119	2687	86897
120	2708	86817
121	2728	86727
122	2748	86636
123	2767	86510
124	2786	86381
125	2804	86234
126	2824	86123
127	2844	86035
128	2863	85928
129	2881	85779
130	2899	85633
131	2918	85533
132	2936	85392
133	2954	85243
134	2974	85149
135	2992	85021
136	3011	84916
137	3032	84857
138	3052	84795
139	3077	84860
140	3106	85020
141	3137	85240
142	3169	85492
143	3201	85736
144	3235	86011
145	3268	86273
146	3304	86613
147	3340	86935
148	3372	87155
149	3404	87379
150	3437	87616
151	3462	87656
152	3485	87634
153	3504	87527
154	3522	87382
155	3541	87260
156	3559	87135
157	3576	86970
158	3596	86886
159	3616	86788
160	3635	86675
161	3655	86598
162	3675	86514
163	3694	86408
164	3714	86342
165	3735	86274
166	3755	86196
167	3773	86071
168	3792	85977
169	3810	85848
170	3829	85747
171	3849	85679
172	3868	85570
173	3887	85483
174	3908	85433
175	3926	85311
176	3945	85218
177	3963	85104
178	3982	85001
179	4000	84896
180	4020	84823
181	4038	84710
182	4056	84600
183	4077	84556
184	4100	84569
185	4130	84706
186	4160	84829
187	4188	84929
188	4220	85098
189	4254	85310
190	4288	85522
191	4321	85708
192	4353	85877
193	4386	86053
194	4414	86142
195	4446	86297
196	4475	86394
197	4499	86404
198	4519	86329
199	4538	86234
200	4559	86180
201	4580	86117
202	4599	86028
203	4618	85935
204	4636	85829
205	4656	85761
206	4674	85655
207	4691	85528
208	4710	85446
209	4729	85361
210	4748	85267
211	4767	85189
212	4785	85075
213	4803	84987
214	4822	84893
215	4841	84823
216	4860	84731
217	4879	84647
218	4899	84596
219	4922	84573
220	4950	84646
221	4980	84764
222	5015	84940
223	5052	85163
224	5087	85348
225	5125	85589
226	5160	85775
227	5195	85960
228	5230	86136
229	5263	86282
230	5293	86363
231	5315	86337
232	5337	86294
233	5358	86232
234	5377	86147
235	5397	86091
236	5416	85998
237	5435	85922
238	5454	85835
239	5473	85746
240	5490	85645
241	5508	85542
242	5527	85458
243	5546	85383
244	5565	85297
245	5584	85215
246	5602	85131
247	5621	85045
248	5640	84967
249	5660	84902
250	5679	84836
251	5699	84769
252	5719	84712
253	5740	84661
254	5758	84575
255	5778	84510
256	5799	84457
257	5818	84393
258	5837	84319
259	5857	84253
260	5875	84166
261	5894	84092
262	5917	84079
263	5948	84183
264	5982	84323
265	6017	84475
266	6056	84670
267	6096	84895
268	6135	85099
269	6176	85320
270	6217	85559
271	6254	85721
272	6289	85861
273	6317	85914
274	6340	85880
275	6361	85829
276	6381	85772
277	6400	85698
278	6418	85607
279	6436	85514
280	6455	85436
281	6472	85339
282	6489	85232
283	6509	85170
284	6528	85102
285	6547	85020
286	6565	84942
287	6583	84851
288	6601	84770
289	6622	84717
290	6641	84648
291	6660	84585
292	6679	84509
293	6698	84442
294	6717	84367
295	6735	84285
296	6753	84200
297	6770	84114
298	6788	84025
299	6807	83957
300	6824	83872
301	6843	83801
302	6861	83713
303	6881	83665
304	6902	83618
305	6921	83560
306	6945	83549
307	6970	83553
308	6992	83529
309	7016	83523
310	7041	83526
311	7065	83519
312	7087	83488
313	7109	83460
314	7132	83439
315	7157	83440
316	7180	83426
317	7206	83437
318	7228	83409
319	7249	83370
320	7271	83340
321	7292	83292
322	7316	83291
323	7340	83287
324	7365	83289
325	7388	83263
326	7409	83225
327	7431	83191
328	7452	83156
329	7473	83117
330	7500	83136
331	7525	83142
332	7549	83130
333	7574	83137
334	7596	83105
335	7617	83065
336	7640	83050
337	7663	83025
338	7685	82999
339	7708	82977
340	7731	82958
341	7752	82924
342	7771	82859
343	7789	82787
344	7807	82714
345	7826	82648
346	7843	82576
347	7859	82479
348	7876	82397
349	7896	82348
350	7914	82279
351	7933	82223
352	7952	82163
353	7968	82073
354	7986	82005
355	8007	81963
356	8027	81918
357	8047	81871
358	8065	81801
359	8082	81725
360	8101	81666
361	8119	81595
362	8137	81534
363	8156	81476
364	8176	81427
365	8196	81385
366	8217	81348
367	8238	81311
368	8262	81308
369	8284	81272
370	8306	81256
371	8328	81220
372	8352	81217
373	8374	81191
374	8394	81148
375	8415	81110
376	8437	81089
377	8458	81047
378	8479	81017
379	8499	80972
380	8520	80936
381	8541	80895
382	8561	80855
383	8584	80837
384	8607	80817
385	8630	80807
386	8653	80788
387	8675	80764
388	8699	80756
389	8722	80739
390	8746	80735
391	8771	80732
392	8795	80726
393	8820	80728
394	8845	80732
395	8869	80717
396	8888	80672
397	8911	80653
398	8935	80639
399	8959	80633
400	8981	80609
401	9001	80564
402	9021	80520
403	9042	80488
404	9060	80426
405	9082	80395
406	9100	80338
407	9118	80278
408	9135	80207
409	9155	80164
410	9172	80100
411	9188	80019
412	9205	79949
413	9222	79882
414	9238	79805
415	9257	79760
416	9275	79698
417	9292	79630
418	9308	79553
419	9326	79497
420	9344	79439
421	9362	79384
422	9381	79331
423	9399	79274
424	9417	79218
425	9439	79191
426	9464	79195
427	9488	79188
428	9513	79187
429	9537	79183
430	9565	79212
431	9592	79228
432	9617	79231
433	9646	79261
434	9670	79251
435	9693	79239
436	9716	79219
437	9741	79225
438	9762	79187
439	9788	79201
440	9811	79180
441	9834	79162
442	9858	79160
443	9880	79136
444	9904	79128
445	9928	79120
446	9953	79114
447	9978	79115
448	10000	79094
449	10021	79062
450	10039	79003
451	10056	78940
452	10075	78888
453	10091	78819
454	10109	78761
455	10128	78714
456	10144	78651
457	10161	78581
458	10177	78518
459	10192	78440
460	10209	78377
461	10226	78315
462	10241	78235
463	10261	78196
464	10276	78124
465	10294	78073
466	10314	78033
467	10332	77977
468	10348	77909
469	10365	77848
470	10381	77787
471	10402	77756
472	10425	77735
473	10451	77747
474	10479	77770
475	10507	77788
476	10531	77786
477	10558	77798
478	10590	77844
479	10619	77877
480	10651	77928
481	10679	77948
482	10707	77964
483	10739	78014
484	10768	78047
485	10797	78071
486	10827	78103
487	10852	78101
488	10877	78103
489	10908	78137
490	10939	78177
491	10966	78192
492	10999	78246
493	11022	78226
494	11044	78204
495	11064	78167
496	11082	78111
497	11099	78055
498	11118	78008
499	11137	77964
500	11155	77913
501	11173	77860
502	11192	77815
503	11210	77759
504	11228	77708
505	11246	77657
506	11264	77608
507	11281	77550
508	11297	77486
509	11313	77418
510	11330	77365
511	11348	77311
512	11366	77260
513	11385	77214
514	11403	77166
515	11421	77116
516	11443	77092
517	11467	77083
518	11492	77081
519	11516	77072
520	11542	77077
521	11569	77086
522	11598	77110
523	11624	77109
524	11653	77136
525	11677	77124
526	11707	77150
527	11732	77148
528	11756	77141
529	11786	77165
530	11813	77175
531	11837	77163
532	11862	77158
533	11885	77145
534	11910	77139
535	11935	77133
536	11960	77132
537	11986	77133
538	12011	77130
539	12034	77112
540	12058	77096
541	12073	77032
542	12091	76980
543	12111	76943
544	12127	76884
545	12144	76829
546	12163	76782
547	12180	76729
548	12197	76675
549	12217	76637
550	12234	76582
551	12252	76531
552	12272	76497
553	12288	76436
554	12305	76381
555	12323	76335
556	12343	76297
557	12361	76250
558	12380	76208
559	12399	76169
560	12418	76124
561	12435	76071
562	12454	76032
563	12472	75985
564	12491	75946
565	12509	75896
566	12525	75838
567	12543	75791
568	12561	75743
569	12580	75701
570	12597	75650
571	12614	75600
572	12632	75553
573	12653	75522
574	12676	75505
575	12703	75517
576	12739	75577
577	12773	75622
578	12808	75680
579	12844	75737
580	12885	75827
581	12923	75899
582	12955	75934
583	12994	76009
584	13034	76092
585	13072	76159
586	13094	76133
587	13115	76103
588	13134	76062
589	13153	76021
590	13172	75981
591	13191	75937
592	13208	75886
593	13225	75835
594	13244	75795
595	13263	75751
596	13283	75716
597	13298	75653
598	13317	75612
599	13335	75569
600	13352	75516
601	13370	75469
602	13388	75424
603	13405	75372
604	13422	75319
605	13436	75254
606	13454	75206
607	13471	75156
608	13489	75114
609	13508	75070
610	13524	75018
611	13541	74966
612	13558	74913
613	13574	74859
614	13594	74822
615	13612	74780
616	13630	74734
617	13648	74688
618	13667	74650
619	13690	74637
620	13713	74616
621	13739	74615
622	13765	74615
623	13792	74622
624	13817	74615
625	13845	74621
626	13872	74630
627	13904	74656
628	13931	74665
629	13957	74663
630	13985	74671
631	14010	74666
632	14036	74660
633	14065	74676
634	14087	74654
635	14112	74645
636	14138	74644
637	14166	74650
638	14193	74656
639	14222	74666
640	14252	74687
641	14279	74691
642	14303	74676
643	14323	74640
644	14341	74597
645	14359	74554
646	14376	74505
647	14396	74468
648	14412	74417
649	14431	74378
650	14450	74341
651	14468	74295
652	14486	74251
653	14503	74204
654	14521	74161
655	14537	74105
656	14554	74055
657	14571	74010
658	14590	73972
659	14610	73937
660	14629	73900
661	14646	73850
662	14661	73792
663	14681	73760
664	14701	73727
665	14721	73697
666	14741	73665
667	14760	73624
668	14777	73577
669	14796	73539
670	14815	73502
671	14831	73451
672	14850	73412
673	14868	73369
674	14885	73324
675	14903	73283
676	14927	73268
677	14956	73280
678	14986	73301
679	15018	73323
680	15051	73356
681	15084	73388
682	15120	73431
683	15156	73476
684	15192	73524
685	15226	73555
686	15257	73576
687	15288	73597
688	15310	73573
689	15331	73547
690	15349	73504
691	15368	73465
692	15386	73422
693	15404	73381
694	15424	73350
695	15441	73301
696	15458	73257
697	15477	73221
698	15496	73183
699	15515	73145
700	15532	73095
701	15550	73056
702	15569	73021
703	15589	72987
704	15607	72944
705	15624	72901
706	15643	72862
707	15660	72818
708	15678	72773
709	15695	72731
710	15713	72689
711	15732	72652
712	15750	72613
713	15766	72560
714	15781	72506
715	15798	72462
716	15815	72416
717	15834	72380
718	15852	72341
719	15871	72301
720	15889	72261
721	15906	72215
722	15925	72182
723	15949	72170
724	15975	72163
725	16004	72173
726	16033	72181
727	16065	72206
728	16095	72219
729	16129	72253
730	16160	72271
731	16189	72276
732	16222	72303
733	16251	72314
734	16287	72353
735	16322	72384
736	16357	72421
737	16389	72442
738	16417	72447
739	16451	72476
740	16482	72494
741	16514	72514
742	16540	72507
743	16559	72470
744	16578	72432
745	16596	72393
746	16615	72357
747	16635	72322
748	16653	72284
749	16672	72245
750	16691	72211
751	16711	72178
752	16728	72133
753	16747	72097
754	16765	72059
755	16785	72025
756	16803	71986
757	16820	71941
758	16836	71892
759	16854	71852
760	16870	71806
761	16889	71770
762	16906	71726
763	16923	71682
764	16943	71649
765	16960	71604
766	16977	71564
767	16996	71528
768	17013	71485
769	17031	71444
770	17050	71410
771	17069	71374
772	17088	71339
773	17106	71300
774	17126	71269
775	17149	71249
776	17173	71237
777	17201	71239
778	17228	71238
779	17254	71232
780	17280	71225
781	17308	71225
782	17334	71220
783	17361	71218
784	17388	71215
785	17415	71213
786	17449	71238
787	17479	71250
788	17507	71249
789	17540	71270
790	17565	71260
791	17589	71244
792	17609	71215
793	17627	71175
794	17646	71139
795	17663	71098
796	17681	71060
797	17699	71018
798	17715	70973
799	17734	70936
800	17752	70899
801	17769	70856
802	17786	70815
803	17804	70775
804	17822	70736
805	17841	70700
806	17859	70664
807	17876	70622
808	17894	70581
809	17911	70540
810	17930	70507
811	17949	70473
812	17969	70440
813	17988	70405
814	18008	70374
815	18025	70334
816	18041	70288
817	18059	70250
818	18075	70205
819	18092	70163
820	18110	70127
821	18129	70091
822	18148	70056
823	18166	70018
824	18186	69990
825	18210	69977
826	18235	69963
827	18265	69972
828	18298	69995
829	18328	70000
830	18358	70011
831	18386	70011
832	18413	70004
833	18445	70021
834	18481	70053
835	18514	70070
836	18547	70091
837	18578	70102
838	18602	70085
839	18622	70055
840	18639	70015
841	18658	69981
842	18676	69944
843	18696	69914
844	18715	69876
